,Rewards,Epsilon over episodes,Timesteps per episode,Average score over 100 episodes
563,9.0,0.005428326933086733,9,11.87
564,27.0,0.005374043663755866,27,12.04
565,10.0,0.005320303227118307,10,12.04
566,11.0,0.005267100194847124,11,12.05
567,9.0,0.005214429192898652,9,12.04
568,22.0,0.005162284900969666,22,12.16
569,13.0,0.005110662051959969,13,12.19
570,12.0,0.005059555431440369,12,12.23
571,11.0,0.005008959877125965,11,12.24
572,26.0,0.004958870278354705,26,12.39
573,11.0,0.004909281575571158,11,12.39
574,10.0,0.004860188759815446,10,12.4
575,10.0,0.004811586872217292,10,12.39
576,25.0,0.004763471003495119,25,12.53
577,10.0,0.004715836293460168,10,12.53
578,10.0,0.004668677930525566,10,12.52
579,12.0,0.00462199115122031,12,12.53
580,11.0,0.004575771239708107,11,12.52
581,28.0,0.004530013527311026,28,12.71
582,10.0,0.004484713392037916,10,12.72
583,10.0,0.004439866258117537,10,12.73
584,11.0,0.004395467595536362,11,12.73
585,10.0,0.004351512919580998,10,12.73
586,24.0,0.004307997790385188,24,12.87
587,27.0,0.004264917812481336,27,13.01
588,10.0,0.0042222686343565225,10,13.0
589,10.0,0.0041800459480129575,10,13.0
590,23.0,0.0041382454885328275,23,13.13
591,12.0,0.004096863033647499,12,13.15
592,10.0,0.0040558944033110235,10,13.15
593,24.0,0.0040153354592779135,24,13.3
594,26.0,0.0039751821046851345,26,13.46
595,13.0,0.003935430283638283,13,13.49
596,28.0,0.0038960759808019003,28,13.68
597,11.0,0.003857115220993881,11,13.69
598,27.0,0.003818544068783942,27,13.87
599,11.0,0.0037803586280961026,11,13.88
600,25.0,0.0037425550418151415,25,14.03
601,23.0,0.00370512949139699,23,14.15
602,27.0,0.0036680781964830204,27,14.31
603,61.0,0.00363139741451819,61,14.82
604,30.0,0.003595083440373008,30,15.02
605,37.0,0.003559132605969278,37,15.28
606,27.0,0.003523541279909585,27,15.43
607,31.0,0.003488305867110489,31,15.64
608,26.0,0.0034534228084393843,26,15.81
609,14.0,0.0034188885803549903,14,15.69
610,27.0,0.0033846996945514404,27,15.85
611,28.0,0.003350852697605926,28,16.04
612,29.0,0.0033173441706298664,29,16.22
613,31.0,0.0032841707289235677,31,16.44
614,28.0,0.0032513290216343318,28,16.61
615,31.0,0.0032188157314179885,31,16.8
616,30.0,0.003186627574103809,30,17.01
617,62.0,0.0031547612983627705,62,17.52
618,30.0,0.003123213685379143,30,17.73
619,31.0,0.0030919815485253516,31,17.93
620,32.0,0.003061061733040098,32,18.14
621,31.0,0.003030451115709697,31,18.34
622,30.0,0.0030001466045526,30,18.54
623,32.0,0.002970145138507074,32,18.76
624,28.0,0.002940443687122003,28,18.94
625,28.0,0.002911039250250783,28,19.13
626,31.0,0.0028819288577482754,31,19.33
627,48.0,0.0028531095691707925,48,19.7
628,44.0,0.0028245784734790844,44,20.04
629,45.0,0.0027963326887442937,45,20.39
630,29.0,0.0027683693618568506,29,20.55
631,25.0,0.002740685668238282,25,20.7
632,29.0,0.0027132788115558993,29,20.86
633,33.0,0.0026861460234403403,33,21.08
634,34.0,0.002659284563205937,34,21.3
635,33.0,0.0026326917175738774,33,21.54
636,11.0,0.0026063648003981387,11,21.55
637,81.0,0.0025803011523941573,81,22.13
638,51.0,0.0025544981408702158,51,22.53
639,102.0,0.0025289531594615135,102,23.44
640,48.0,0.0025036636278668984,48,23.82
641,34.0,0.0024786269915882293,34,24.04
642,48.0,0.002453840721672347,48,24.41
643,74.0,0.0024293023144556234,74,25.05
644,47.0,0.002405009291311067,47,25.43
645,12.0,0.0023809591983979563,12,25.45
646,46.0,0.0023571496064139765,46,25.63
647,29.0,0.0023335781103498367,29,25.81
648,48.0,0.002310242329246338,48,26.18
649,45.0,0.002287139905953875,45,26.38
650,71.0,0.0022642685068943362,71,26.83
651,26.0,0.002241625821825393,26,26.97
652,46.0,0.002219209563607139,46,27.15
653,27.0,0.0021970174679710676,27,27.32
654,27.0,0.0021750472932913567,27,27.35
655,48.0,0.0021532968203584434,48,27.72
656,207.0,0.002131763852154859,207,29.7
657,220.0,0.0021104462136333105,220,31.79
658,75.0,0.0020893417514969773,75,32.33
659,11.0,0.0020684483339820075,11,32.32
660,57.0,0.0020477638506421875,57,32.78
661,69.0,0.0020272862121357657,69,33.22
662,149.0,0.002007013350014408,149,34.43
663,175.0,0.0019869432165142637,175,36.09
664,27.0,0.001967073784349121,27,36.09
665,64.0,0.0019474030465056298,64,36.63
666,71.0,0.0019279290160405735,71,37.23
667,39.0,0.0019086497258801677,39,37.53
668,122.0,0.0018895632286213661,122,38.53
669,41.0,0.0018706675963351524,41,38.81
670,41.0,0.0018519609203718008,41,39.1
671,42.0,0.0018334413111680827,42,39.41
672,23.0,0.001815106898056402,23,39.38
673,42.0,0.001796955829075838,42,39.69
674,12.0,0.0017789862707850797,12,39.71
675,40.0,0.001761196408077229,40,40.01
676,23.0,0.0017435844439964566,23,39.99
677,65.0,0.001726148599556492,65,40.54
678,37.0,0.001708887113560927,37,40.81
679,37.0,0.0016917982424253177,37,41.06
680,13.0,0.0016748802600010644,13,41.08
681,42.0,0.0016581314574010539,42,41.22
682,137.0,0.0016415501428270432,137,42.49
683,13.0,0.0016251346413987727,13,42.52
684,91.0,0.001608883294984785,91,43.32
685,185.0,0.0015927944620349372,185,45.07
686,241.0,0.0015768665174145879,241,47.24
687,238.0,0.001561097852240442,238,49.35
688,120.0,0.0015454868737180376,120,50.45
689,252.0,0.0015300320049808573,252,52.87
690,78.0,0.0015147316849310488,78,53.42
691,25.0,0.0014995843680817383,25,53.55
692,231.0,0.001484588524400921,231,55.76
693,39.0,0.0014697426391569117,39,55.91
694,206.0,0.0014550452127653425,206,57.71
695,219.0,0.0014404947606376892,219,59.77
696,42.0,0.0014260898130313124,42,59.91
697,151.0,0.0014118289149009993,151,61.31
698,500.0,0.0013977106257519892,500,66.04
699,500.0,0.0013837335194944694,500,70.93
700,419.0,0.0013698961842995246,419,74.87
701,500.0,0.0013561972224565293,500,79.64
702,500.0,0.001342635250231964,500,84.37
703,300.0,0.0013292088977296444,300,86.76
704,339.0,0.001315916808752348,339,89.85
705,283.0,0.0013027576406648245,283,92.31
706,237.0,0.0012897300642581763,237,94.41
707,459.0,0.0012768327636155945,459,98.69
708,261.0,0.0012640644359794386,261,101.04
709,173.0,0.0012514237916196442,173,102.63
710,320.0,0.0012389095537034477,320,105.56
711,388.0,0.0012265204581664133,388,109.16
712,276.0,0.0012142552535847491,276,111.63
713,257.0,0.0012021127010489016,257,113.89
714,297.0,0.0011900915740384126,297,116.58
715,350.0,0.0011781906582980285,350,119.77
716,343.0,0.0011664087517150481,343,122.9
717,217.0,0.0011547446641978977,217,124.45
718,314.0,0.0011431972175559187,314,127.29
719,234.0,0.0011317652453803595,234,129.32
720,344.0,0.0011204475929265558,344,132.44
721,267.0,0.0011092431169972903,267,134.8
722,312.0,0.0010981506858273175,312,137.62
723,252.0,0.0010871691789690443,252,139.82
724,339.0,0.0010762974871793539,339,142.93
725,304.0,0.0010655345123075602,304,145.69
726,301.0,0.0010548791671844847,301,148.39
727,277.0,0.0010443303755126399,277,150.68
728,313.0,0.0010338870717575134,313,153.37
729,366.0,0.0010235482010399382,366,156.58
730,268.0,0.0010133127190295388,268,158.97
731,397.0,0.0010031795918392433,397,162.69
732,267.0,0.000993147795920851,267,165.07
733,388.0,0.000993147795920851,388,168.62
734,350.0,0.000993147795920851,350,171.78
735,318.0,0.000993147795920851,318,174.63
736,322.0,0.000993147795920851,322,177.74
737,480.0,0.000993147795920851,480,181.73
738,422.0,0.000993147795920851,422,185.44
739,325.0,0.000993147795920851,325,187.67
740,204.0,0.000993147795920851,204,189.23
741,232.0,0.000993147795920851,232,191.21
742,257.0,0.000993147795920851,257,193.3
743,253.0,0.000993147795920851,253,195.09
744,156.0,0.000993147795920851,156,196.18
745,500.0,0.000993147795920851,500,201.06
746,173.0,0.000993147795920851,173,202.33
747,182.0,0.000993147795920851,182,203.86
748,216.0,0.000993147795920851,216,205.54
749,132.0,0.000993147795920851,132,206.41
750,222.0,0.000993147795920851,222,207.92
751,446.0,0.000993147795920851,446,212.12
752,104.0,0.000993147795920851,104,212.7
753,236.0,0.000993147795920851,236,214.79
754,216.0,0.000993147795920851,216,216.68
755,229.0,0.000993147795920851,229,218.49
756,176.0,0.000993147795920851,176,218.18
757,221.0,0.000993147795920851,221,218.19
758,147.0,0.000993147795920851,147,218.91
759,220.0,0.000993147795920851,220,221.0
760,393.0,0.000993147795920851,393,224.36
761,322.0,0.000993147795920851,322,226.89
762,274.0,0.000993147795920851,274,228.14
763,500.0,0.000993147795920851,500,231.39
764,207.0,0.000993147795920851,207,233.19
765,475.0,0.000993147795920851,475,237.3
766,500.0,0.000993147795920851,500,241.59
767,151.0,0.000993147795920851,151,242.71
768,167.0,0.000993147795920851,167,243.16
