,Rewards,Timesteps per episode,Average score over 100 episodes
571,500.0,500,481.49
572,500.0,500,485.17
573,500.0,500,487.36
574,500.0,500,487.98
575,500.0,500,487.98
576,500.0,500,487.98
577,500.0,500,487.98
578,500.0,500,487.98
579,500.0,500,487.98
580,500.0,500,490.67
581,500.0,500,490.67
582,500.0,500,491.27
583,500.0,500,491.27
584,500.0,500,491.36
585,500.0,500,491.36
586,500.0,500,491.36
587,500.0,500,491.36
588,500.0,500,491.36
589,500.0,500,491.36
590,500.0,500,491.36
591,500.0,500,491.36
592,500.0,500,491.36
593,500.0,500,491.36
594,500.0,500,491.36
595,500.0,500,491.36
596,500.0,500,491.36
597,500.0,500,491.36
598,500.0,500,491.36
599,500.0,500,491.36
600,500.0,500,491.36
601,500.0,500,491.36
602,500.0,500,491.36
603,500.0,500,491.36
604,500.0,500,491.36
605,500.0,500,491.36
606,500.0,500,491.36
607,500.0,500,491.36
608,500.0,500,491.36
609,500.0,500,491.36
610,500.0,500,491.36
611,500.0,500,491.36
612,500.0,500,491.36
613,500.0,500,491.36
614,500.0,500,491.36
615,500.0,500,491.36
616,500.0,500,491.36
617,500.0,500,491.36
618,500.0,500,491.36
619,500.0,500,491.36
620,500.0,500,491.36
621,500.0,500,491.36
622,431.0,431,490.67
623,500.0,500,490.67
624,500.0,500,490.67
625,500.0,500,490.67
626,500.0,500,490.67
627,500.0,500,490.67
628,500.0,500,490.67
629,500.0,500,490.67
630,456.0,456,490.23
631,389.0,389,489.12
632,500.0,500,489.12
633,500.0,500,489.12
634,500.0,500,489.12
635,500.0,500,489.12
636,500.0,500,489.12
637,500.0,500,489.12
638,500.0,500,489.12
639,500.0,500,489.12
640,500.0,500,489.85
641,500.0,500,489.85
642,500.0,500,489.85
643,500.0,500,489.85
644,500.0,500,489.85
645,500.0,500,489.85
646,500.0,500,489.85
647,500.0,500,489.85
648,500.0,500,489.85
649,500.0,500,489.85
650,500.0,500,489.85
651,500.0,500,489.85
652,500.0,500,493.89
653,500.0,500,493.89
654,500.0,500,493.89
655,500.0,500,493.89
656,500.0,500,493.89
657,500.0,500,493.89
658,500.0,500,493.89
659,500.0,500,496.58
660,500.0,500,496.58
661,500.0,500,496.58
662,500.0,500,496.58
663,500.0,500,497.76
664,500.0,500,497.76
665,500.0,500,497.76
666,500.0,500,497.76
667,500.0,500,497.76
668,500.0,500,497.76
669,500.0,500,497.76
670,500.0,500,497.76
671,500.0,500,497.76
672,500.0,500,497.76
673,500.0,500,497.76
674,500.0,500,497.76
675,500.0,500,497.76
676,500.0,500,497.76
677,500.0,500,497.76
678,500.0,500,497.76
679,500.0,500,497.76
680,500.0,500,497.76
681,500.0,500,497.76
682,500.0,500,497.76
683,500.0,500,497.76
684,500.0,500,497.76
685,500.0,500,497.76
686,500.0,500,497.76
687,500.0,500,497.76
688,500.0,500,497.76
689,500.0,500,497.76
690,500.0,500,497.76
691,500.0,500,497.76
692,500.0,500,497.76
693,500.0,500,497.76
694,500.0,500,497.76
695,500.0,500,497.76
696,500.0,500,497.76
697,500.0,500,497.76
698,500.0,500,497.76
699,500.0,500,497.76
700,500.0,500,497.76
701,500.0,500,497.76
702,500.0,500,497.76
703,500.0,500,497.76
704,500.0,500,497.76
705,500.0,500,497.76
706,500.0,500,497.76
707,483.0,483,497.59
708,500.0,500,497.59
709,500.0,500,497.59
710,500.0,500,497.59
711,500.0,500,497.59
712,500.0,500,497.59
713,500.0,500,497.59
714,500.0,500,497.59
715,500.0,500,497.59
716,500.0,500,497.59
717,500.0,500,497.59
718,500.0,500,497.59
719,500.0,500,497.59
720,500.0,500,497.59
721,500.0,500,497.59
722,500.0,500,498.28
723,500.0,500,498.28
724,500.0,500,498.28
725,500.0,500,498.28
726,500.0,500,498.28
727,500.0,500,498.28
728,500.0,500,498.28
729,500.0,500,498.28
730,500.0,500,498.72
731,500.0,500,499.83
732,500.0,500,499.83
733,500.0,500,499.83
734,500.0,500,499.83
735,500.0,500,499.83
736,500.0,500,499.83
737,500.0,500,499.83
738,500.0,500,499.83
739,500.0,500,499.83
740,500.0,500,499.83
741,500.0,500,499.83
742,500.0,500,499.83
743,500.0,500,499.83
744,500.0,500,499.83
745,500.0,500,499.83
746,500.0,500,499.83
747,500.0,500,499.83
748,500.0,500,499.83
749,500.0,500,499.83
750,500.0,500,499.83
751,500.0,500,499.83
752,500.0,500,499.83
753,500.0,500,499.83
754,500.0,500,499.83
755,500.0,500,499.83
756,500.0,500,499.83
757,500.0,500,499.83
758,500.0,500,499.83
759,500.0,500,499.83
760,500.0,500,499.83
761,500.0,500,499.83
762,500.0,500,499.83
763,500.0,500,499.83
764,500.0,500,499.83
765,500.0,500,499.83
766,500.0,500,499.83
767,500.0,500,499.83
768,500.0,500,499.83
769,500.0,500,499.83
770,500.0,500,499.83
771,500.0,500,499.83
772,500.0,500,499.83
773,500.0,500,499.83
774,500.0,500,499.83
775,500.0,500,499.83
776,500.0,500,499.83
777,500.0,500,499.83
778,500.0,500,499.83
779,437.0,437,499.2
780,500.0,500,499.2
781,500.0,500,499.2
782,482.0,482,499.02
783,422.0,422,498.24
